HAT_KODU,DURAK_ID,BINIS_SAYISI
00725,50583,6
00725,50592,42
00725,50598,35
00725,50600,25
00725,50602,13
00725,50604,28
00725,50605,54
00725,50892,471
00725,99999,313
00730,50006,4
00730,50008,1
00730,50009,25
00730,50010,5
00730,50011,20
00730,50012,3
00730,50013,19
00730,50014,2
00730,50015,10
00730,50016,4
00730,50017,9
00730,50018,5
00730,50019,27
00730,50021,5
00730,50022,15
00730,50023,20
00730,50025,7
00730,50026,1
00730,50027,10
00730,50028,2
00730,50029,8
00730,50031,13
00730,50033,21
00730,50034,2
00730,50035,8
00730,50036,3
00730,50037,16
00730,50039,8
00730,50040,3
00730,50041,2
00730,50042,2
00730,50043,1
00730,50044,1
00730,50045,3
00730,50046,7
00730,50054,1
00730,50057,1
00730,50058,1
00730,50061,1
00730,50063,1
00730,50064,1
00730,50065,3
00730,50068,1
00730,50072,1
00730,50073,1
00730,50074,1
00730,50081,12
00730,50082,1
00730,50083,10
00730,50084,7
00730,50085,2
00730,50087,1
00730,50089,2
00730,50090,6
00730,50092,2
00730,50124,1
00730,50379,15
00730,50380,3
00730,50383,1
00730,50385,1
00730,50390,4
00730,50394,2
00730,50399,1
00730,50402,2
00730,50406,1
00730,50408,7
00730,50422,1
00730,50424,1
00730,50426,8
00730,50428,3
00730,50430,17
00730,50431,1
00730,50432,9
00730,50433,1
00730,50434,2
00730,50436,19
00730,50438,12
00730,50440,5
00730,50442,30
00730,50444,23
00730,50446,10
00730,50448,213
00730,50452,25
00730,50508,7
00730,50509,1
00730,50510,44
00730,50512,14
00730,50513,1
00730,50514,25
00730,50517,22
00730,50891,331
00730,99999,115
00735,50009,12
00735,50010,3
00735,50011,2
00735,50012,3
00735,50013,8
00735,50014,5
00735,50017,2
00735,50018,4
00735,50019,7
00735,50021,2
00735,50023,5
00735,50025,2
00735,50027,8
00735,50028,1
00735,50029,7
00735,50031,1
00735,50033,5
00735,50035,4
00735,50036,5
00735,50037,4
00735,50039,4
00735,50041,3
00735,50043,1
00735,50044,1
00735,50045,3
00735,50059,1
00735,50060,1
00735,50064,2
00735,50066,2
00735,50067,1
00735,50070,1
00735,50081,4
00735,50083,6
00735,50084,1
00735,50085,1
00735,50087,2
00735,50089,13
00735,50095,2
00735,50097,1
00735,50098,2
00735,50100,2
00735,50101,2
00735,50105,3
00735,50106,1
00735,50108,2
00735,50111,1
00735,50113,3
00735,50114,1
00735,50117,1
00735,50119,2
00735,50120,2
00735,50122,3
00735,50617,4
00735,50620,1
00735,50626,4
00735,50628,1
00735,50630,1
00735,50656,4
00735,50658,6
00735,50660,1
00735,50662,2
00735,50674,1
00735,50680,2
